Ссылка на продукт,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Cтрана-производитель
https://goldapple.ru/19000153557-sensoriel-noiressence,Sensoriel Noiressence,13458,,"{""title"": ""J.U.S JOYAU UNIQUE & SENSORIEL Sensoriel Noiressence"", ""subtitle"": ""артикул: 19000153557"", ""content"": ""Насыщенный, играющий на контрастах аромат J.U.S – парфюмерное посвящение творчеству художника Пьера Сулажа, раскрывшего в своих работах глубину и красоту черного цвета. Чтобы передать суть этих картин, парфюмер создала минималистичную композицию, отражающую насыщенный блеск и выразительную красоту чернил. <br>\nПалитру темных оттенков передают чувственная нота бархатистой кожи, черный перец, стиракс, почки черной смородины. Аккорд чернил и цветок апельсина создают неповторимый, гипнотический дуэт, построенный на единстве противоположностей. Классификация аромата: цветочный, кожаный. Парфюмер – Alexandra Carlin."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""кожаные, цветочные""}, {""key"": ""верхние ноты"", ""value"": ""цветок апельсина""}, {""key"": ""средние ноты"", ""value"": ""аккорд чернил""}, {""key"": ""базовые ноты"", ""value"": ""кожа""}]}","Для наружного применения. 
",Франция
https://goldapple.ru/19000214991-eau-du-soir,Eau Du Soir,23560,,"{""title"": ""SISLEY Eau Du Soir"", ""subtitle"": ""артикул: 19000214991"", ""content"": ""С утонченным, неподвластным времени ароматом Eau du Soir вы перенесетесь в севильский замок Алькасар и совершите вечернюю прогулку в цветущем саду. Изысканный, Eau du Soir сочетает в себе свежесть цитрусов и чувственность цветов, подчеркнутую элегантным шипровым оттенком. За мандарином и грейпфрутом следуют роза и нежный жасмин; сирень и иланг-иланг добавляют очарования. И в качестве последнего штриха – чудесный шлейф амбры и пачули.<br><br>\nЛимитированная коллекция Eau du Soir 2023. Флакон оформил Иман Чаби-Гара.\nВ своей серии работ \""однодневная живопись\"" Иман Чаби-Гара заставляет фрагменты реалистичных изображений взаимодействовать с помощью различных техник и текстур. Линии и цвета, структуры и движения реагируют друг на друга и создают неожиданные контрасты.<br><br>\n\""Работа идеально вписывается в впечатления, вызванные ароматом. Завитки растений и насыщенный теплый желтый оттенок в отличие от нежно-голубого расширяют обонятельные ощущения до сильных визуальных ощущений."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""пряные, цветочные, шипровые""}, {""key"": ""верхние ноты"", ""value"": ""мандарин, грейпфрут, перец""}, {""key"": ""средние ноты"", ""value"": ""сирень, жасмин, роза, иланг-иланг, ландыш, ирис, можжевельник, гвоздика""}, {""key"": ""базовые ноты"", ""value"": ""мускус, амбра, дубовый мох, пачули, ладанник""}]}",Нанесите аромат на открытые участки тела.,Франция
https://goldapple.ru/19000061647-effusion-for-her,EFFUSION WOMAN ,1260,4.5,"{""title"": ""ICEBERG EFFUSION WOMAN"", ""subtitle"": ""артикул: 19000061647"", ""content"": ""Многогранный женский аромат ICEBERG стартует с яркой и бодрящей ноты грейпфрута, смягченной фруктовой свежестью киви и маракуйи. Плавно рассеиваясь, фруктовое облако уступает место чувственному мускатному ореху и кардамону, который придает аромату лёгкую остроту.<br>\nПряные ноты переплетаются с цветочной элегантностью фрезии, жасмина, фиалки и розы, делая композицию одновременно свежей, нежной и терпкой.Теплые базовые ноты кедра, сандала, чарующего мускуса и сладкой ванили усиливают чувственность аромата и подчеркивают его уникальный характер."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""туалетная вода""}, {""key"": ""для кого"", ""value"": ""женский""}, {""key"": ""группа ароматов"", ""value"": ""цветочные""}, {""key"": ""верхние ноты"", ""value"": ""грейпфрут, киви, маракуйя""}, {""key"": ""средние ноты"", ""value"": ""мускатный орех, кардамон, фрезия, жасмин, фиалка, роза""}, {""key"": ""базовые ноты"", ""value"": ""кедр, сандал, мускус, ваниль""}]}",только для наружного применения,Италия
https://goldapple.ru/7192200042-miss-dior-rose-n-roses,Miss Dior Rose'n'Roses,10300,,"{""title"": ""DIOR Miss Dior Rose'n'Roses"", ""subtitle"": ""артикул: 7192200042"", ""content"": ""Отройте для себя новый аромат Miss Dior Rose'n'Roses. Свежий вихрь разноцветных лепестков, бодрящая энергия цитрусовых нот. В сердце Miss Dior Rose N'Roses - вихрь пряных нот Грасской Розы. Её роскошные бутоны распускаются в мае на полях Грасса, принадлежащих эксклюзивным партнерам Дома Dior. Сборщицы урожая аккуратно срывают эти удивительные цветы, чтобы сохранить их качества."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""туалетная вода""}, {""key"": ""для кого"", ""value"": ""женский""}, {""key"": ""группа ароматов"", ""value"": ""цветочные""}, {""key"": ""верхние ноты"", ""value"": ""абсолю и эссенции грасской розы, розы дамасцены""}, {""key"": ""средние ноты"", ""value"": ""итальянский мандарин, бергамот и эссенция герани""}, {""key"": ""базовые ноты"", ""value"": ""аккорд белого мускуса""}]}",,Франция
https://goldapple.ru/19000153564-sensoriel-spritzlove,Sensoriel Spritzlove,14420,,"{""title"": ""J.U.S JOYAU UNIQUE & SENSORIEL Sensoriel Spritzlove"", ""subtitle"": ""артикул: 19000153564"", ""content"": ""Насыщенная и притягательная композиция J.U.S посвящена приятным и беззаботным моментам, проведенным с лучшими друзьями. Искрящаяся апельсиновая нота, напоминающая о венецианском коктейле «Спритц», встречается с глубоким и ярким аккордом ценного уда. <br>\nЭтот дуэт превращается в парфюмерную оду истинной дружбе, дополненную чувственным звучанием ветивера и сияющим аккордом шафрана. <br>\nКонтраст светлых, бодрящих граней, олицетворяющих разделенную с близким радость, и темных, дымных нот делает композицию глубокой и загадочной. Классификация аромата: восточный, древесный. Парфюмер – Alexis Dadier."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""восточные, древесные""}, {""key"": ""верхние ноты"", ""value"": ""спритц""}, {""key"": ""средние ноты"", ""value"": ""ветивер""}, {""key"": ""базовые ноты"", ""value"": ""уд""}]}","Для наружного применения. 
",Франция
https://goldapple.ru/19000178404-sucrilege,SUCRILÈGE,2700,5,"{""title"": ""YNEPSIE SUCRILÈGE"", ""subtitle"": ""артикул: 19000178404"", ""content"": ""Восточно-гурманский аромат Ynepsie – это парфюмерное воплощение соблазнов и стремления к удовольствиям. Фруктовые ноты сочного апельсина и экзотической питайи, известной как «драконий фрукт», сочетаются с чарующей сладостью шоколада, бобов тонка и насыщенной ванили. Жажду поддаться искушению усиливают нежная орхидея и мягкая амброво-мускусная база аромата, перед которой невозможно устоять."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""парфюмерная вода""}, {""key"": ""для кого"", ""value"": ""женский""}, {""key"": ""группа ароматов"", ""value"": ""восточные, гурманские""}, {""key"": ""верхние ноты"", ""value"": ""питайя, апельсин""}, {""key"": ""средние ноты"", ""value"": ""шоколад, орхидея, ваниль""}, {""key"": ""базовые ноты"", ""value"": ""амбра, бобы тонка, мускус""}]}","Только для наружного применения.
",Франция
https://goldapple.ru/19000008796-travel-set-coda,TRAVEL SET: CODA,8192,,"{""title"": ""MIN NEW YORK TRAVEL SET: CODA"", ""subtitle"": ""артикул: 19000008796"", ""content"": ""В набор входят 3 миниатюры парфюмерной воды CODA от MIN NEW YORK (10 мл). Объем, идеальный для поездок, позволит всегда носить любимый аромат с собой или брать его в путешествия. Эту композицию открывают светлые ноты альдегидов, которые создают контраст с горячим и чувственным сердцем аромата. Сочные и сладкие сливы, цветочные и древесные ноты сочетаются с роскошной кожей и пленительным мускусом. Эта парфюмерная вода дарит чувство удовлетворения и баланса, оставаясь на грани между дерзостью рок-звезды и сдержанной элегантностью."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""наборы миниатюр""}, {""key"": ""для кого"", ""value"": ""унисекс""}]}",,Франция
https://goldapple.ru/19000131312-desired-by-night,Desired by Night,4839,,"{""title"": ""VELLUTIER Desired by Night"", ""subtitle"": ""артикул: 19000131312"", ""content"": ""Свечи Vellutier — Это дизайн, элегантность и история, описанная в ароматах.<br>\nЭто бархатистый воск высочайшего качества, изготовленный по специальному рецепту в уникальном стакане. Его утонченная форма с характерным срезом, образует идеальную фигуру с крышкой из натурального дерева.<br>\nГеральдический логотип, выгравированный на деревянной крышке, подчеркивает уникальность благородного материала, раскрывая его неповторимую структуру. Свечи Vellutier имеют специальный хлопковый фитиль, изготовленный с добавлением египетского хлопка. Для его изготовления мы используем хлопок высочайшего качества, который позволяет свече гореть красивым пламенем.<br>\nАроматы Vellutier — это тщательно подобранные элегантные композиции, которые переносят нас в далекие края, рассказывая через уникальные ноты, захватывающие истории о самых красивых уголках мира!<br>\nБудьте готовы к длинной ночи ! Кокетливое платье, высокие каблуки, закат, а за ним ночное звездное небо ! Почувствуйте свежесть страстной ночи , благодаря уникальной зажигательной композиции имбиря и кардамона в объятиях цветка туберозы, ветивера и пачули."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""ароматические свечи""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""пряные""}, {""key"": ""верхние ноты"", ""value"": ""имбирь, мята, зелень""}, {""key"": ""средние ноты"", ""value"": ""тубероза, кардамон""}, {""key"": ""базовые ноты"", ""value"": ""ветивер, пачули, древесина""}]}",,Польша
https://goldapple.ru/19000228351-christmas-hearth,Christmas Hearth,1200,,"{""title"": ""OGONEK Christmas Hearth"", ""subtitle"": ""артикул: 19000228351"", ""content"": ""Свеча декоративная ароматическая - Рождественский очаг НОВОГОДНЯЯ\n<br><br>Рождественский очаг согреет вас холодными зимними вечера и подарит атмосферу настоящей зимней сказки у вас дома.\n<br>TOP эвкалипт, шалфей\n<br>HEART дым, пачули, сандал\n<br>BASE можжевельник, карамель\n<br><br>Ароматическая свеча OGONEK Новогодняя коллекция с деревянным фитилем в банке  - это не просто декоративный элемент, но и источник приятного аромата, который создаст уютную новогоднюю атмосферу в вашем доме. \n<br><br>Идеальный и практичный подарок на Новый год и Рождество. Отличный подарок маме, сестре, подруге, коллеге.\n<br>Свеча изготовлена в России вручную на собственном производстве. В процессе изготовления используются только качественные российские материалы, что гарантирует безопасность и долговечность продукта. Деревянный фитиль добавляет приятные потрескивающие звуки, создавая атмосферу маленького камина. Свеча поставляется в новогоднем дизайне, что делает ее отличным вариантом для подарка."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""ароматические свечи""}, {""key"": ""для кого"", ""value"": ""унисекс""}, {""key"": ""группа ароматов"", ""value"": ""древесные""}, {""key"": ""верхние ноты"", ""value"": ""эвкалипт, шалфей""}, {""key"": ""средние ноты"", ""value"": ""дым, пачули, сандал""}, {""key"": ""базовые ноты"", ""value"": ""можжевельник, карамель""}]}","Для декорирования, ароматизации и освещения помещений, в качестве новогоднего подарка.",Россия
https://goldapple.ru/19000226512-amber-aroma-diffuser,Amber Aroma diffuser ,714,,"{""title"": ""TANJEREE Amber Aroma diffuser"", ""subtitle"": ""артикул: 19000226512"", ""content"": ""Ароматический диффузор в наборе с аромапалочками наполнит комнаты изысканным стойким запахом. Домашний освежитель с арома жидкостью прекрасно украсит интерьер квартиры, офиса или дачи. Жидкий ароматный наполнитель нейтрализует неприятные запахи на кухне, в шкафу, подарит свежесть на весь день и ночь. Аромо диффузор с палочками - это не обычный освежитель воздуха, а изысканный стойкий парфюм для дома в изящном исполнении. Это поистине стильное украшение, способное дополнить и подчеркнуть любой интерьер. Ароматы для дома Tanjeree звучат очень сочно, но при этом ненавязчиво, создавая атмосферу уюта, гармонии и свежести каждый день. Аромадиффузор Танжери содержит в себе флакон с ароматической жидкостью и микрофибровые палочки черного цвета длиной 22 см. Один из приятных плюсов диффузора - контроль интенсивности аромата. Регулировать его интенсивность вы можете при помощи палочек, переворачивая и увеличивая их количество для увеличения интенсивности аромата, или уменьшая количество для ослабления аромата."", ""attributes"": [{""key"": ""тип продукта"", ""value"": ""диффузоры""}, {""key"": ""для кого"", ""value"": ""унисекс""}]}",Откройте флакон с ароматической жидкостью и погрузите в нее бамбуковые палочки. Для наилучшего распространения аромата поместите диффузор на уровне 1-1.5 м от пола.,Россия
